Currency,Date,Open,High,Low,Close,Volume,Market Cap
ripple,"Mar 25, 2017",0.010502,0.010711,0.009040,0.009116,"11,334,900","340,825,428"
ripple,"Mar 24, 2017",0.010528,0.010825,0.009135,0.010518,"24,493,700","393,260,829"
ripple,"Mar 23, 2017",0.007284,0.010582,0.007258,0.010582,"12,315,100","395,649,983"
ripple,"Mar 22, 2017",0.006908,0.007460,0.006882,0.007301,"4,652,530","272,603,337"
ripple,"Mar 21, 2017",0.006996,0.007075,0.006792,0.006909,"3,021,440","257,975,383"
ripple,"Mar 20, 2017",0.006915,0.007112,0.006761,0.006975,"3,423,710","260,445,300"
ripple,"Mar 19, 2017",0.006736,0.007198,0.006556,0.006912,"4,241,970","258,098,226"
ripple,"Mar 18, 2017",0.006137,0.007396,0.006118,0.006710,"7,223,300","250,547,339"
ripple,"Mar 17, 2017",0.006406,0.006406,0.005970,0.006116,"3,442,010","228,362,151"
ripple,"Mar 16, 2017",0.006319,0.006409,0.006213,0.006394,"3,860,210","238,733,559"
ripple,"Mar 15, 2017",0.006370,0.006500,0.006301,0.006314,"1,376,090","235,454,225"
ripple,"Mar 14, 2017",0.006346,0.006406,0.006277,0.006381,"1,358,830","237,960,156"
ripple,"Mar 13, 2017",0.006271,0.006429,0.006156,0.006385,"2,561,890","238,098,132"
ripple,"Mar 12, 2017",0.006214,0.006313,0.006086,0.006255,"1,531,030","233,249,975"
ripple,"Mar 11, 2017",0.006229,0.006383,0.006130,0.006238,"1,818,590","232,626,476"
ripple,"Mar 10, 2017",0.006503,0.006546,0.006050,0.006227,"3,144,440","232,222,991"
ripple,"Mar 09, 2017",0.006485,0.006606,0.006423,0.006498,"2,064,660","242,319,059"
ripple,"Mar 08, 2017",0.006551,0.006776,0.006363,0.006509,"3,432,500","243,479,929"
ripple,"Mar 07, 2017",0.006057,0.006577,0.005974,0.006534,"2,901,920","244,428,566"
ripple,"Mar 06, 2017",0.006129,0.006221,0.006047,0.006057,"1,023,500","226,571,294"
ripple,"Mar 05, 2017",0.006290,0.006389,0.006129,0.006129,"1,044,760","229,273,937"
ripple,"Mar 04, 2017",0.006354,0.006497,0.006278,0.006299,"1,372,440","235,639,831"
ripple,"Mar 03, 2017",0.005988,0.006346,0.005968,0.006339,"2,703,850","237,138,723"
ripple,"Mar 02, 2017",0.005419,0.006217,0.005408,0.005991,"3,811,500","224,099,076"
ripple,"Mar 01, 2017",0.005525,0.005547,0.005372,0.005408,"1,630,460","200,868,980"
ripple,"Feb 28, 2017",0.005608,0.005631,0.005438,0.005536,"1,693,350","205,616,367"
ripple,"Feb 27, 2017",0.005665,0.005696,0.005608,0.005609,"641,126","208,327,144"
ripple,"Feb 26, 2017",0.005664,0.005733,0.005651,0.005671,"258,373","210,650,136"
ripple,"Feb 25, 2017",0.005700,0.005743,0.005628,0.005665,"684,577","210,432,471"
ripple,"Feb 24, 2017",0.005883,0.005919,0.005644,0.005701,"1,343,690","211,743,658"
ripple,"Feb 23, 2017",0.005856,0.005943,0.005798,0.005895,"750,533","218,956,299"
ripple,"Feb 22, 2017",0.005849,0.005887,0.005817,0.005860,"500,712","217,065,184"
ripple,"Feb 21, 2017",0.005871,0.005909,0.005735,0.005832,"653,081","216,037,936"
ripple,"Feb 20, 2017",0.005879,0.005949,0.005740,0.005873,"880,117","217,573,065"
ripple,"Feb 19, 2017",0.005589,0.005892,0.005570,0.005878,"896,856","217,744,953"
ripple,"Feb 18, 2017",0.005949,0.006014,0.005427,0.005569,"1,866,850","206,294,830"
ripple,"Feb 17, 2017",0.005939,0.006095,0.005872,0.005935,"1,160,600","219,877,982"
ripple,"Feb 16, 2017",0.006138,0.006244,0.005988,0.006027,"1,355,840","223,279,049"
ripple,"Feb 15, 2017",0.006279,0.006302,0.006095,0.006147,"813,299","227,727,196"
ripple,"Feb 14, 2017",0.006240,0.006352,0.006240,0.006278,"671,150","232,582,623"
ripple,"Feb 13, 2017",0.006267,0.006338,0.006228,0.006251,"462,843","231,580,939"
ripple,"Feb 12, 2017",0.006328,0.006364,0.006269,0.006269,"230,479","232,223,661"
ripple,"Feb 11, 2017",0.006290,0.006395,0.006273,0.006333,"334,607","234,593,030"
ripple,"Feb 10, 2017",0.006367,0.006700,0.006192,0.006289,"808,768","232,977,147"
ripple,"Feb 09, 2017",0.006433,0.006484,0.006193,0.006374,"1,700,680","236,118,153"
ripple,"Feb 08, 2017",0.006407,0.007833,0.006402,0.006438,"860,217","237,281,127"
ripple,"Feb 07, 2017",0.006437,0.006509,0.006378,0.006407,"945,440","236,127,887"
ripple,"Feb 06, 2017",0.006439,0.006494,0.006397,0.006450,"386,766","237,707,557"
ripple,"Feb 05, 2017",0.006494,0.006563,0.006403,0.006442,"367,001","237,439,242"
ripple,"Feb 04, 2017",0.006487,0.006528,0.006429,0.006492,"314,187","239,277,644"
ripple,"Feb 03, 2017",0.006466,0.006510,0.006401,0.006474,"548,263","238,606,119"
ripple,"Feb 02, 2017",0.006540,0.006630,0.006381,0.006469,"670,888","238,429,576"
ripple,"Feb 01, 2017",0.006311,0.006642,0.006249,0.006540,"1,836,820","241,024,345"
ripple,"Jan 31, 2017",0.006390,0.006411,0.006297,0.006314,"661,444","232,723,519"
ripple,"Jan 30, 2017",0.006402,0.006468,0.006353,0.006381,"391,822","235,163,421"
ripple,"Jan 29, 2017",0.006356,0.006493,0.006287,0.006402,"325,176","235,949,571"
ripple,"Jan 28, 2017",0.006409,0.006419,0.006323,0.006342,"241,491","233,731,913"
ripple,"Jan 27, 2017",0.006686,0.006815,0.006331,0.006415,"924,745","236,445,291"
ripple,"Jan 26, 2017",0.006511,0.007073,0.006425,0.006690,"1,446,950","246,557,247"
ripple,"Jan 25, 2017",0.006527,0.006594,0.006490,0.006513,"522,497","240,038,824"
ripple,"Jan 24, 2017",0.006708,0.006718,0.006534,0.006540,"509,262","241,037,252"
ripple,"Jan 23, 2017",0.006718,0.006735,0.006662,0.006697,"309,838","246,835,064"
ripple,"Jan 22, 2017",0.006706,0.006759,0.006653,0.006713,"362,422","247,414,439"
ripple,"Jan 21, 2017",0.006694,0.006824,0.006678,0.006706,"553,724","247,138,388"
ripple,"Jan 20, 2017",0.007032,0.007160,0.006610,0.006675,"620,052","246,023,864"
ripple,"Jan 19, 2017",0.006713,0.007040,0.006671,0.007034,"760,684","259,231,566"
ripple,"Jan 18, 2017",0.006790,0.007125,0.006659,0.006709,"1,342,730","246,714,248"
ripple,"Jan 17, 2017",0.006772,0.006848,0.006612,0.006800,"1,842,150","250,063,012"
ripple,"Jan 16, 2017",0.006747,0.006836,0.006717,0.006788,"699,284","249,604,106"
ripple,"Jan 15, 2017",0.006867,0.006925,0.006726,0.006726,"780,822","247,328,329"
ripple,"Jan 14, 2017",0.006610,0.006872,0.006585,0.006863,"1,307,810","252,379,605"
ripple,"Jan 13, 2017",0.006434,0.006664,0.006396,0.006596,"2,059,340","242,560,559"
ripple,"Jan 12, 2017",0.006417,0.006851,0.006351,0.006423,"5,013,190","236,179,631"
ripple,"Jan 11, 2017",0.006708,0.006721,0.006312,0.006411,"3,436,270","232,965,876"
ripple,"Jan 10, 2017",0.006157,0.006815,0.006148,0.006698,"2,510,530","243,404,745"
ripple,"Jan 09, 2017",0.006239,0.006294,0.006127,0.006167,"702,255","224,080,102"
ripple,"Jan 08, 2017",0.006383,0.006383,0.006232,0.006233,"554,133","226,499,134"
